Gene,Average,Std_Dev
SH3BGRL3,"9,23195911510844","0,16222830765812798"
CD52,"7,411247246905509","0,20224754337204587"
LIN28A,"6,965471529921624","0,11764896938671604"
DHDDS,"9,264058267005028","0,09095838612794427"
HMGN2,"10,352016898246058","0,16931322634228083"
RPS6KA1,"8,113778165238083","0,20629204504741677"
ARID1A,"9,665672437320067","0,1045718853729195"
PIGV,"8,694221951667412","0,11564754517696765"
ZDHHC18,"9,150830305433747","0,08798567735266163"
SFN,"7,645928814284062","0,2546404432053523"
NUDC,"9,671121097276089","0,09636484323187418"
TRNP1,"9,087737574207074","0,11915068701237481"
WDTC1,"9,052939813845743","0,11457790279788933"
TMEM222,"9,047362803516512","0,0954086696086763"
SYTL1,"7,031173397978794","0,08089137015053885"
GPR3,"8,691230669297807","0,14721756710786926"
FAM76A,"8,097080035711073","0,12733016919776902"
STX12,"10,164738093363383","0,09743552853846803"
SCARNA1,"6,476878422909293","0,2523867929048278"
THEMIS2,"8,148803365502467","0,3542379397776"
SMPDL3B,"7,077355758755119","0,17165249702156385"
XKR8,"7,2432223333246615","0,12057776600446025"
ATP5IF1,"8,476390483441541","0,08927604883582964"
SESN2,"7,790602377852426","0,1480217436535799"
MED18,"6,45982041791474","0,09206103593806904"
PHACTR4,"9,601190077932015","0,2187775851968437"
RCC1,"7,344132378408529","0,08375417171581741"
SNORA73A,"11,003544209408728","0,2836245672940513"
TRNAU1AP,"8,604542252233937","0,08770435256072912"
RNU11,"9,090291680194309","0,5043371783552849"
GMEB1,"7,865823126560829","0,09903366357899186"
OPRD1,"8,747065846310516","0,12309177339983672"
EPB41,"7,730922931609183","0,28945049955175994"
PTPRU,"8,836326600774074","0,17807804624503995"
MATN1-AS1,"7,14708185574167","0,11337794599431902"
ZCCHC17,"8,971995863355394","0,16991100648543248"
SERINC2,"7,742181878136082","0,08984103504638918"
TINAGL1,"7,815951706628671","0,13142504368818048"
TMEM39B,"8,132091725699407","0,09278245794360199"
KPNA6,"10,315022967376862","0,11762929197246193"
CCDC28B,"6,88792125746549","0,0933061093731591"
IQCC,"7,582917565099975","0,09093715093354864"
FAM167B,"7,452653893980494","0,10452198043250197"
LCK,"7,032021594213686","0,09369925907481107"
HDAC1,"8,232333785576152","0,22645474480869202"
TSSK3,"6,869466098592609","0,11961970479201892"
ZBTB8A,"8,15020733067721","0,09998400649280674"
KIAA1522,"8,307348907619108","0,14388168420316894"
S100PBP,"8,697032229395024","0,1505098386286892"
HPCA,"11,290490917554981","0,3282666670853402"
AZIN2,"8,703987294339555","0,12576550933555056"
ZNF362,"9,723462072965885","0,09259493992961317"
ZSCAN20,"7,100032414004854","0,09552264304862204"
C1orf94,"6,601455775758338","0,15240632985655259"
GJB5,"6,949124365398284","0,16264791722238126"
GJB4,"6,715090214083983","0,08435642552754113"
GJB3,"6,450427609673104","0,10347190428094463"
GJA4,"8,216551739138932","0,12159015824318002"
ZMYM1,"7,240875664790186","0,1255383218752692"
NCDN,"11,901756749809278","0,20286408306559026"
TFAP2E,"8,664151240794832","0,10804779355309337"
AGO4,"8,712634809649538","0,11213234512171559"
AGO1,"9,969849041860831","0,08329172884916432"
AGO3,"9,219358230905932","0,09785215255444947"
TEKT2,"6,863926188867107","0,14856616157692246"
MAP7D1,"9,581401779167997","0,10007514470712274"
THRAP3,"9,452242491593767","0,08170053144330969"
SH3D21,"7,9710574858485135","0,11221494483583448"
ZC3H12A,"7,478590716604528","0,08279639435585456"
DNALI1,"8,974298326976523","0,24269944030213994"
CDCA8,"6,83389076463279","0,1343329272387113"
MANEAL,"8,743655192736489","0,13658180171555293"
C1orf122,"9,302579048393358","0,11933754859856405"
UTP11,"8,37330139858019","0,1318604055686274"
AKIRIN1,"9,87164793120456","0,08516919042970689"
NDUFS5,"11,856677473153024","0,10008737088422898"
MACF1,"10,545698098908865","0,15264891387983032"
BMP8A,"7,9597971054066905","0,14708412289598682"
OXCT2P1,"7,482385430115605","0,10016222802605253"
MFSD2A,"8,640040567495449","0,2989903040544027"
CAP1,"10,92355945392598","0,11829508143939566"
RLF,"10,081612812412356","0,11227445087286093"
ZMPSTE24,"9,294660255713602","0,11721228554331038"
SMAP2,"10,940246306460612","0,11654831138602162"
ZFP69B,"7,806840234910963","0,20232279682138501"
ZFP69,"6,66573928381494","0,1122636224421052"
EXO5,"7,509958983286883","0,14281681764646634"
ZNF684,"6,236110170895022","0,17198397142265087"
NFYC,"9,476285318278494","0,09084059917384918"
MIR30C1,"6,040611071096749","0,10754771821868692"
KCNQ4,"7,842203155579555","0,15061738686390955"
CTPS1,"8,177183532337066","0,13526807077147512"
GUCA2B,"7,8470201046934","0,1060453110554253"
RIMKLA,"8,899590747697433","0,19669897539316258"
CCDC30,"8,165405407327889","0,15036832472241385"
PPIH,"8,194590712484427","0,13433174063622938"
YBX1,"10,982761546630815","0,23919973342016126"
C1orf50,"8,14979188477142","0,0980985339008524"
TMEM269,"6,296203167078688","0,09909596053536797"
ERMAP,"7,52309898904949","0,15558434984448424"
ZNF691,"7,365071572834043","0,13939957014876855"
FAM183A,"6,099130130198775","0,18641050093613953"
CFAP57,"6,992053674229368","0,2479393652274174"
TMEM125,"7,46143817664142","0,1387420474674358"
TIE1,"7,495453217898741","0,13627163754704588"
CDC20,"6,865523202516117","0,10524797206807748"
SZT2,"8,434679047302982","0,09179515092244173"
PTPRF,"9,993657172694514","0,12007039721624738"
KDM4A,"8,952527566922356","0,09152572793777566"
